Pos,Team,Pld,W,D,L,G,GA,GD,Pts
1,Liverpool,16,14,2,0,36,7,29,44
2,Man City,15,11,3,1,44,12,32,36
3,Tottenham,18,11,2,5,43,16,27,35
4,Newcastle,17,11,1,5,23,19,4,34
5,Arsenal,17,11,0,6,28,23,5,33
6,Chelsea,14,8,3,3,28,15,13,27
7,Leicester,18,7,5,6,28,22,6,26
8,Crystal Palace,16,6,6,4,19,12,7,24
9,Brentford,15,7,2,6,22,18,4,23
10,Burnley,19,6,4,9,18,26,-8,22
11,Brighton,16,6,3,7,19,21,-2,21
12,Man Utd,16,5,5,6,21,27,-6,20
13,Everton,18,6,2,10,19,31,-12,20
14,Aston Villa,17,5,4,8,24,22,2,19
15,West Ham,15,5,4,6,19,20,-1,19
16,Wolves,17,5,2,10,19,27,-8,17
17,Leeds,17,4,4,9,18,39,-21,16
18,Southampton,16,4,3,9,17,33,-16,15
19,Watford,17,2,2,13,11,37,-26,8
20,Norwich,16,1,3,12,10,39,-29,6
