Pos,Team,Pld,W,D,L,G,GA,GD,Pts
1,Liverpool,22,17,4,1,49,14,35,55
2,Man City,21,16,4,1,59,17,42,52
3,Tottenham,24,14,4,6,53,23,30,46
4,Arsenal,21,13,1,7,38,26,12,40
5,Newcastle,22,12,3,7,27,28,-1,39
6,Chelsea,22,10,8,4,38,22,16,38
7,Brighton,22,8,7,7,28,27,1,31
8,Man Utd,22,8,7,7,31,33,-2,31
9,Leicester,22,8,6,8,35,32,3,30
10,Crystal Palace,21,7,7,7,26,22,4,28
11,West Ham,21,8,4,9,32,30,2,28
12,Wolves,21,8,3,10,25,29,-4,27
13,Brentford,22,8,2,12,27,34,-7,26
14,Burnley,23,6,6,11,20,32,-12,24
15,Aston Villa,21,6,5,10,29,29,0,23
16,Southampton,21,6,5,10,27,41,-14,23
17,Leeds,21,6,4,11,25,47,-22,22
18,Everton,22,6,3,13,23,38,-15,21
19,Norwich,21,3,3,15,15,50,-35,12
20,Watford,22,2,4,16,13,46,-33,10
