Pos,Team,Pld,W,D,L,G,GA,GD,Pts
1,Man City,31,25,4,2,85,23,62,79
2,Liverpool,31,24,5,2,77,20,57,77
3,Tottenham,31,18,5,8,63,30,33,59
4,Arsenal,31,19,2,10,56,38,18,59
5,Chelsea,31,16,10,5,61,30,31,58
6,Newcastle,31,13,7,11,36,46,-10,46
7,West Ham,31,13,6,12,46,41,5,45
8,Leicester,31,12,8,11,53,47,6,44
9,Man Utd,31,12,8,11,43,51,-8,44
10,Wolves,31,12,6,13,33,37,-4,42
11,Crystal Palace,31,10,11,10,42,35,7,41
12,Brighton,31,8,13,10,34,39,-5,37
13,Southampton,31,9,9,13,38,57,-19,36
14,Aston Villa,31,10,5,16,42,45,-3,35
15,Brentford,31,10,4,17,38,50,-12,34
16,Burnley,31,7,11,13,29,42,-13,32
17,Leeds,31,8,8,15,35,65,-30,32
18,Everton,31,7,4,20,30,58,-28,25
19,Norwich,31,5,6,20,21,68,-47,21
20,Watford,31,4,4,23,27,67,-40,16
